90,9.0713,93,1.31,95,0.60863,3,0.91025,119,0.54715,0.13071,0.036269,965.87,8
89,8.8192,92,0.83667,95,0.56363,3,0.91363,119,0.53728,0.13018,0.050308,832.62,8
92,10.361,96,1.5473,90,0.57875,98,0.52994,3,0.9111,0.13875,0.040111,877.65,8
89,10.893,95,2.2088,3,0.91519,119,0.53488,5,0.78408,0.13367,0.038668,1025.4,8
97,9.8685,93,0.95585,95,0.7482,3,0.91139,119,0.54248,0.12412,0.039753,1020.4,8
92,10.961,96,1.9773,3,0.90641,89,0.68688,9,1.6181,0.15013,0.036822,891.03,8
95,8.4371,93,1.525,89,0.60987,98,0.67416,3,0.91361,0.12741,0.036341,916.69,8
91,9.6554,93,0.71272,3,0.91312,95,1.8179,98,0.77267,0.15288,0.049839,984.06,8
94,10.984,96,1.3908,89,0.9597,91,0.60496,3,0.91328,0.12609,0.039043,920.79,8
93,11.267,89,1.8471,96,1.3571,105,1.9097,3,0.91304,0.11537,0.031834,1346.3,8
93,8.9666,90,0.68601,95,0.9376,3,0.91406,119,0.53767,0.13018,0.03591,902.91,8
93,6.0623,95,2.4349,3,0.9167,119,0.53709,5,0.786,0.12578,0.043196,998.66,8
90,10.162,95,1.2078,93,0.65054,3,0.91068,119,0.54434,0.14614,0.039795,1443.8,8
3,0.91241,119,0.5446,92,10.149,5,0.78356,98,0.83347,0.17521,0.045266,1207.5,8
91,9.1223,96,1.8655,3,0.91802,119,0.52898,5,0.78556,0.13513,0.046938,1199.8,8
93,9.1767,89,2.2755,95,0.71742,3,0.91953,119,0.53194,0.13865,0.047674,741.72,8
93,8.2521,96,0.50931,90,0.52437,3,0.91286,8,1.7829,0.16369,0.054662,1235.3,8
93,8.3633,95,0.94183,98,0.73707,3,0.90718,119,0.55121,0.1457,0.044964,1064.8,8
93,8.3145,95,2.5692,97,0.50443,88,0.51866,3,0.91192,0.12965,0.041933,656.75,8
95,10.991,98,0.69443,93,2.8529,89,0.64097,3,0.91267,0.13588,0.043206,1036.2,8
96,9.5124,93,1.0429,3,0.90673,119,0.5518,5,0.77908,0.13103,0.04299,1125.8,8
95,6.9419,98,0.72382,93,0.70991,3,0.90897,119,0.54729,0.15261,0.04415,1527.9,8
94,11.219,98,1.1149,92,1.0373,3,0.91338,89,0.69275,0.13902,0.033213,1257.3,8
96,10.36,93,1.5045,3,0.91152,119,0.54118,89,0.50705,0.1408,0.043611,1459.9,8
91,10.208,94,1.7699,3,0.91303,119,0.53889,5,0.78275,0.14095,0.041078,977.59,8
91,8.6095,89,1.258,93,1.3067,3,0.91962,97,0.52185,0.1301,0.036639,1004.9,8
8,1.6604,91,10.708,96,0.90007,93,1.2805,3,0.93407,0.16804,0.044187,983.05,8
3,0.9125,94,2.8342,97,2.7625,119,0.53936,5,0.78236,0.18344,0.071457,949.96,8
94,8.7963,89,1.699,3,0.91011,98,0.52307,119,0.54454,0.13844,0.046989,781.12,8
90,9.605,93,0.76379,96,1.8274,3,0.92248,119,0.52477,0.12137,0.031016,949.56,8
92,9.4337,96,0.95985,3,0.91299,119,0.54283,5,0.78329,0.12342,0.047172,831.33,8
90,8.0701,95,0.59163,3,0.91288,99,0.80534,119,0.54541,0.13713,0.036896,1098,8
79,7.7573,76,0.53546,81,0.53058,3,0.93207,5,0.79376,0.087968,0.032022,562.42,6
76,9.7033,79,1.8916,81,1.3538,3,0.92879,5,0.79179,0.10986,0.032011,806.63,6
75,6.6851,77,0.61608,3,0.93174,5,0.79364,119,0.50599,0.096964,0.029468,701.99,6
78,6.8674,81,0.74562,3,0.93147,5,0.79357,119,0.50676,0.087044,0.033979,706.69,6
77,8.0249,75,0.6037,3,0.9302,5,0.79272,119,0.50845,0.093299,0.028845,846.09,6
82,7.8011,77,0.9229,3,0.92783,119,0.51159,5,0.7912,0.10533,0.031691,808.68,6
79,6.4528,81,1.124,3,0.93093,5,0.79312,119,0.50706,0.092803,0.034695,515.62,6
82,6.4089,3,0.92767,119,0.51219,5,0.79118,8,1.7784,0.08606,0.030013,819.06,6
